History for Series RTD.Q.S0.S.G_GDPM_TO_D.X (10000 history days)
,,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,valid from: 
Period,Current value,2014-03-05 15:30:00,2014-02-05 15:30:00,2013-12-04 15:30:00,2013-11-06 15:30:00,2013-09-05 15:30:00,2013-07-04 15:30:00,2013-06-06 15:30:00,2013-05-02 15:30:00,2013-04-04 15:30:00,2013-03-07 15:30:00,2013-01-10 15:30:00,2012-12-06 15:30:00,2012-11-08 15:30:00,2012-09-06 15:30:00,2012-07-05 15:30:00,2012-06-06 15:30:00,2012-04-04 15:30:00,2012-03-08 15:30:00,2012-01-12 15:30:00,2011-12-08 15:30:00,2011-11-03 15:30:00,2011-10-06 15:30:00,2011-09-08 15:30:00,2011-07-07 15:30:00,2011-06-09 15:30:00,2011-04-07 15:30:00,2011-03-03 15:30:00,2011-01-13 15:30:00,2010-12-02 15:30:00,2010-11-04 15:30:00,2010-10-07 15:30:00,2010-09-01 15:30:00,2010-08-04 15:30:00,2010-07-07 15:30:00,2010-06-09 15:30:00,2010-05-05 15:30:00,2010-04-07 15:30:00,2010-03-03 15:30:00,2010-02-03 15:30:00,2010-01-13 15:30:00,2009-12-02 15:30:00,2009-11-04 15:30:00,2009-10-07 15:30:00,2009-09-02 15:30:00,2009-08-05 15:30:00,2009-07-01 15:30:00,2009-06-03 15:30:00,2009-05-06 15:30:00,2009-04-01 15:30:00,2009-03-04 15:30:00,2009-02-04 15:30:00,2009-01-14 15:30:00,2008-12-03 15:30:00,2008-11-05 15:30:00,2008-09-03 15:30:00,2008-08-06 15:30:00,2008-07-02 15:30:00,2008-06-04 15:30:00,2008-05-06 15:30:00,2008-04-09 15:30:00,2008-03-05 15:30:00,2008-01-09 15:30:00,2007-12-05 15:30:00,2007-11-07 15:30:00,2007-10-02 15:30:00,2007-09-05 15:30:00,2007-08-01 15:30:00,2007-06-05 15:30:00,2007-05-08 15:30:00,2007-04-11 15:30:00,2007-03-07 15:30:00,2007-01-10 15:30:00,2006-12-06 15:30:00,2006-10-31 15:30:00,2006-10-04 15:30:00,2006-08-30 15:30:00,2006-08-02 15:30:00,2006-06-07 15:30:00,2006-05-03 15:30:00,2006-04-04 15:30:00,2006-02-01 15:30:00,2006-01-11 15:30:00,2005-11-30 15:30:00,2005-11-02 15:30:00,2005-10-05 15:30:00,2005-08-31 15:30:00,2005-08-03 15:30:00,2005-07-06 15:30:00,2005-06-01 15:30:00,2005-05-03 15:30:00,2005-03-02 15:30:00,2005-01-12 15:30:00,2004-12-01 15:30:00,2004-11-03 15:30:00,2004-10-06 15:30:00,2004-08-04 15:30:00,2004-06-02 15:30:00,2004-05-05 15:30:00,2004-03-31 15:30:00,2004-03-03 15:30:00,2004-02-04 15:30:00,2004-01-14 15:30:00,2003-12-03 15:30:00,2003-11-05 15:30:00,2003-10-01 15:30:00,2003-09-03 15:30:00,2003-07-30 15:30:00,2003-07-09 15:30:00,2003-06-04 15:30:00,2003-05-07 15:30:00,2003-04-02 15:30:00,2003-03-05 15:30:00,2003-02-05 15:30:00,2003-01-15 15:30:00,2002-12-04 15:30:00,2002-11-06 15:30:00,2002-10-09 15:30:00,2002-09-11 15:30:00,2002-07-31 15:30:00,2002-07-03 15:30:00,2002-06-05 15:30:00,2002-04-30 15:30:00,2002-04-03 15:30:00,2002-03-06 15:30:00,2002-02-06 15:30:00,2002-01-16 15:30:00,2001-12-05 15:30:00,2001-11-07 15:30:00,2001-10-10 15:30:00,2001-09-13 15:30:00,2001-08-01 15:30:00,2001-07-04 15:30:00,2001-06-06 15:30:00,2001-05-08 15:30:00,2001-04-10 15:30:00,2001-02-28 15:30:00,2001-01-31 15:30:00,2001-01-03 15:30:00
2013Q4,112.70,112.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013Q3,112.55,112.55,112.55,112.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013Q2,112.45,112.45,112.45,112.32,112.47,112.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013Q1,112.07,112.07,112.08,111.94,112.02,111.94,111.95,111.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012Q4,111.46,111.46,111.44,111.34,111.39,111.35,111.27,111.26,111.36,111.16,111.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012Q3,111.05,111.05,111.06,110.97,110.96,110.92,110.95,110.93,111.09,111.01,111.01,110.97,110.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012Q2,110.70,110.70,110.70,110.61,110.61,110.57,110.57,110.59,110.63,110.51,110.51,110.49,110.53,110.55,110.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012Q1,110.34,110.34,110.34,110.26,110.22,110.17,110.18,110.16,110.18,110.19,110.19,110.20,110.24,110.20,110.27,110.08,110.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011Q4,109.93,109.93,109.93,109.83,109.85,109.83,109.87,109.89,109.88,109.79,109.79,109.81,109.85,109.81,109.91,109.80,109.78,109.74,109.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
