History for Series RTD.Q.S0.S.G_FCHI_TO_U.E (10000 history days)
,,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,valid from: 
Period,Current value,2014-03-05 15:30:00,2014-02-05 15:30:00,2013-12-04 15:30:00,2013-11-06 15:30:00,2013-09-05 15:30:00,2013-07-04 15:30:00,2013-06-06 15:30:00,2013-05-02 15:30:00,2013-03-07 15:30:00,2013-01-10 15:30:00,2012-12-06 15:30:00,2012-11-08 15:30:00,2012-09-06 15:30:00,2012-07-05 15:30:00,2012-06-06 15:30:00,2012-04-04 15:30:00,2012-03-08 15:30:00,2012-01-12 15:30:00,2011-12-08 15:30:00,2011-10-06 15:30:00,2011-09-08 15:30:00,2011-07-07 15:30:00,2011-06-09 15:30:00,2011-04-07 15:30:00,2011-03-03 15:30:00,2011-02-03 15:30:00,2011-01-13 15:30:00,2010-12-02 15:30:00,2010-10-07 15:30:00,2010-09-01 15:30:00,2010-07-07 15:30:00,2010-06-09 15:30:00,2010-04-07 15:30:00,2010-03-03 15:30:00,2010-01-13 15:30:00,2009-12-02 15:30:00,2009-10-07 15:30:00,2009-09-02 15:30:00,2009-08-05 15:30:00,2009-06-03 15:30:00,2009-05-06 15:30:00,2009-04-01 15:30:00,2009-03-04 15:30:00,2009-02-04 15:30:00,2009-01-14 15:30:00,2008-12-03 15:30:00,2008-11-05 15:30:00,2008-09-03 15:30:00,2008-08-06 15:30:00,2008-06-04 15:30:00,2008-04-09 15:30:00,2008-03-05 15:30:00,2008-01-09 15:30:00,2007-12-05 15:30:00,2007-11-07 15:30:00,2007-09-05 15:30:00,2007-08-01 15:30:00,2007-06-05 15:30:00,2007-04-11 15:30:00,2007-03-07 15:30:00,2007-01-10 15:30:00,2006-12-06 15:30:00,2006-10-31 15:30:00,2006-10-04 15:30:00,2006-08-02 15:30:00,2006-06-07 15:30:00,2006-05-03 15:30:00,2006-04-04 15:30:00,2006-02-01 15:30:00,2006-01-11 15:30:00,2005-11-30 15:30:00,2005-11-02 15:30:00,2005-08-31 15:30:00,2005-08-03 15:30:00,2005-06-01 15:30:00,2005-05-03 15:30:00,2005-03-02 15:30:00,2005-01-12 15:30:00,2004-12-01 15:30:00,2004-11-03 15:30:00,2004-10-06 15:30:00,2004-08-04 15:30:00,2004-06-02 15:30:00,2004-05-05 15:30:00,2004-03-03 15:30:00,2004-01-14 15:30:00,2003-12-03 15:30:00,2003-11-05 15:30:00,2003-10-01 15:30:00,2003-09-03 15:30:00,2003-07-30 15:30:00,2003-06-04 15:30:00,2003-05-07 15:30:00,2003-03-05 15:30:00,2003-01-15 15:30:00,2002-12-04 15:30:00,2002-11-06 15:30:00,2002-09-11 15:30:00,2002-07-31 15:30:00,2002-06-05 15:30:00,2002-04-30 15:30:00,2002-04-03 15:30:00,2002-03-06 15:30:00,2002-01-16 15:30:00,2001-12-05 15:30:00,2001-11-07 15:30:00,2001-09-13 15:30:00,2001-08-01 15:30:00,2001-07-04 15:30:00,2001-05-08 15:30:00,2001-04-10 15:30:00,2001-01-31 15:30:00,2001-01-03 15:30:00
2013Q4,1380738.84,1380738.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013Q3,1377279.41,1377279.41,1376434.17,1372772.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013Q2,1371438.07,1371438.07,1371503.69,1367674.75,1368860.25,1373096.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013Q1,1367823.06,1367823.06,1367741.02,1364108.1,1364903.41,1366279.84,1365190.82,1366805.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012Q4,1365431.14,1365431.14,1365156.62,1361730.8,1362501.43,1363330.45,1363479.02,1363448.63,1364020.67,1365431.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012Q3,1365133.65,1365133.65,1365279.36,1361829.42,1361266.86,1362668.02,1363879.18,1363892.1,1362941.74,1363644.36,1364127.33,1365402.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012Q2,1363509.55,1363509.55,1363640.39,1359976.23,1359558.59,1360437.29,1361194.67,1361245.75,1359635.93,1359488.16,1359291.3,1360258.21,1361727.71,1365380.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012Q1,1367336.13,1367336.13,1367294.29,1363848.47,1363783.43,1364612.23,1364405.17,1364393.3,1362887.96,1362181.31,1362090.65,1362317.23,1362676.26,1364676.1,1364269.4,1364387.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011Q4,1360282.43,1360282.43,1360395.19,1357299.27,1357474.03,1358715.86,1358963.72,1358794.75,1357895.69,1357573.95,1357654.43,1357762.15,1357679.09,1359545.25,1357781.29,1357791.24,1357619.94,1358643.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
