,dates,fred_variables,1947Q1,1947Q2,1947Q3,1947Q4,1948Q1,1948Q2,1948Q3,1948Q4,1949Q1,1949Q2,1949Q3,1949Q4,1950Q1,1950Q2,1950Q3,1950Q4,1951Q1,1951Q2,1951Q3,1951Q4,1952Q1,1952Q2,1952Q3,1952Q4,1953Q1,1953Q2,1953Q3,1953Q4,1954Q1,1954Q2,1954Q3,1954Q4,1955Q1,1955Q2,1955Q3,1955Q4,1956Q1,1956Q2,1956Q3,1956Q4,1957Q1,1957Q2,1957Q3,1957Q4,1958Q1,1958Q2,1958Q3,1958Q4,1959Q1,1959Q2,1959Q3,1959Q4,1960Q1,1960Q2,1960Q3,1960Q4,1961Q1,1961Q2,1961Q3,1961Q4,1962Q1,1962Q2,1962Q3,1962Q4,1963Q1,1963Q2,1963Q3,1963Q4,1964Q1,1964Q2,1964Q3,1964Q4,1965Q1,1965Q2,1965Q3,1965Q4,1966Q1,1966Q2,1966Q3,1966Q4,1967Q1,1967Q2,1967Q3,1967Q4,1968Q1,1968Q2,1968Q3,1968Q4,1969Q1,1969Q2,1969Q3,1969Q4,1970Q1,1970Q2,1970Q3,1970Q4,1971Q1,1971Q2,1971Q3,1971Q4,1972Q1,1972Q2,1972Q3,1972Q4,1973Q1,1973Q2,1973Q3,1973Q4,1974Q1,1974Q2,1974Q3,1974Q4,1975Q1,1975Q2,1975Q3,1975Q4,1976Q1,1976Q2,1976Q3,1976Q4,1977Q1,1977Q2,1977Q3,1977Q4,1978Q1,1978Q2,1978Q3,1978Q4,1979Q1,1979Q2,1979Q3,1979Q4,1980Q1,1980Q2,1980Q3,1980Q4,1981Q1,1981Q2,1981Q3,1981Q4,1982Q1,1982Q2,1982Q3,1982Q4,1983Q1,1983Q2,1983Q3,1983Q4,1984Q1,1984Q2,1984Q3,1984Q4,1985Q1,1985Q2,1985Q3,1985Q4,1986Q1,1986Q2,1986Q3,1986Q4,1987Q1,1987Q2,1987Q3,1987Q4,1988Q1,1988Q2,1988Q3,1988Q4,1989Q1,1989Q2,1989Q3,1989Q4,1990Q1,1990Q2,1990Q3,1990Q4,1991Q1,1991Q2,1991Q3,1991Q4,1992Q1,1992Q2,1992Q3,1992Q4,1993Q1,1993Q2,1993Q3,1993Q4,1994Q1,1994Q2,1994Q3,1994Q4,1995Q1,1995Q2,1995Q3,1995Q4,1996Q1,1996Q2,1996Q3,1996Q4,1997Q1,1997Q2,1997Q3,1997Q4,1998Q1,1998Q2,1998Q3,1998Q4,1999Q1,1999Q2,1999Q3,1999Q4,2000Q1,2000Q2,2000Q3,2000Q4,2001Q1,2001Q2,2001Q3,2001Q4,2002Q1,2002Q2,2002Q3,2002Q4,2003Q1,2003Q2,2003Q3,2003Q4,2004Q1,2004Q2,2004Q3,2004Q4,2005Q1,2005Q2,2005Q3,2005Q4,2006Q1,2006Q2,2006Q3,2006Q4,2007Q1,2007Q2,2007Q3,2007Q4,2008Q1,2008Q2,2008Q3,2008Q4,2009Q1,2009Q2,2009Q3,2009Q4,2010Q1,2010Q2,2010Q3,2010Q4,2011Q1,2011Q2,2011Q3,2011Q4,2012Q1,2012Q2,2012Q3,2012Q4,2013Q1,2013Q2,2013Q3,2013Q4,2014Q1,2014Q2,2014Q3,2014Q4,2015Q1,2015Q2,2015Q3,2015Q4,2016Q1,2016Q2,2016Q3,2016Q4,2017Q1,2017Q2,2017Q3,2017Q4,2018Q1,2018Q2,2018Q3,2018Q4,2019Q1
0,1947-01-01,UNRATE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1947-04-01,UNRATE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1947-07-01,UNRATE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1947-10-01,UNRATE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4
4,1948-01-01,UNRATE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.825,3.825,3.825,3.825,3.825,3.825,3.825,3.825,3.825,3.825,3.825,3.825,3.825,3.825,3.825,3.825,3.85,3.85,3.85,3.85,3.85,3.85,3.85,3.85,3.825,3.825,3.825,3.825,3.775,3.775,3.775,3.775,3.775,3.775,3.775,3.775,3.775,3.775,3.775,3.775,3.775,3.775,3.775,3.775,3.775,3.775,3.775,3.775,3.775,3.775,3.775,3.775,3.775,3.775,3.775,3.775,3.775,3.775,3.775,3.775,3.775,3.775,3.775,3.775,3.775,3.775,3.775,3.775,3.775,3.775,3.775,3.775,3.775,3.775,3.775,3.775,3.775,3.775,3.775,3.775,3.775,3.775,3.775,3.775,3.775,3.775,3.775,3.775,3.775,3.775,3.775,3.775,3.775,3.775,3.775,3.775,3.775,3.775,3.775,3.775,3.775,3.775,3.775,3.775,3.775,3.775,3.775,3.775,3.775,3.775,3.775,3.775,3.775,3.775,3.775,3.775,3.775,3.775,3.775,3.775,3.775,3.775,3.775,3.775,3.775,3.775,3.775,3.775,3.775,3.775,3.775,3.775,3.775,3.775,3.775,3.775,3.775,3.775,3.775,3.775,3.775,3.775,3.775,3.775,3.775,3.775,3.775,3.775,3.775,3.775,3.775,3.775,3.775,3.775,3.775,3.775,3.775,3.775,3.775,3.775,3.775,3.775,3.775,3.775,3.775,3.775,3.775,3.775,3.775,3.775,3.775,3.775,3.775,3.775,3.775,3.775,3.775,3.775,3.775,3.775,3.775,3.775,3.775,3.775,3.775,3.775,3.775,3.775,3.775,3.775,3.775,3.775,3.775,3.775,3.775,3.775,3.775,3.775,3.775,3.775,3.775,3.775,3.775,3.775,3.775,3.775,3.775,3.775,3.775,3.775,3.775,3.775,3.775,3.775,3.775,3.775,3.775,3.775,3.775,3.775,3.775,3.775,3.775,3.775,3.775,3.775,3.775,3.775,3.775,3.775,3.775,3.775,3.775,3.775,3.775,3.775,3.775
5,1948-04-01,UNRATE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.7749999999999995,3.7749999999999995,3.7749999999999995,3.7749999999999995,3.7749999999999995,3.7749999999999995,3.7749999999999995,3.7749999999999995,3.7749999999999995,3.7749999999999995,3.7749999999999995,3.7749999999999995,3.7749999999999995,3.7749999999999995,3.7749999999999995,3.7749999999999995,3.725,3.725,3.725,3.725,3.725,3.725,3.725,3.725,3.7249999999999996,3.7249999999999996,3.7249999999999996,3.7249999999999996,3.65,3.65,3.65,3.65,3.65,3.65,3.65,3.65,3.65,3.65,3.65,3.65,3.65,3.65,3.65,3.65,3.65,3.65,3.65,3.65,3.65,3.65,3.65,3.65,3.65,3.65,3.65,3.65,3.65,3.65,3.65,3.65,3.65,3.65,3.65,3.65,3.65,3.65,3.65,3.65,3.65,3.65,3.65,3.65,3.65,3.65,3.65,3.65,3.65,3.65,3.65,3.65,3.65,3.65,3.65,3.65,3.65,3.65,3.65,3.65,3.65,3.65,3.65,3.65,3.65,3.65,3.65,3.65,3.65,3.65,3.65,3.65,3.65,3.65,3.65,3.65,3.65,3.65,3.65,3.65,3.65,3.65,3.65,3.65,3.65,3.65,3.65,3.65,3.65,3.65,3.65,3.65,3.65,3.65,3.65,3.65,3.65,3.65,3.65,3.65,3.65,3.65,3.65,3.65,3.65,3.65,3.65,3.65,3.65,3.65,3.65,3.65,3.65,3.65,3.65,3.65,3.65,3.65,3.65,3.65,3.65,3.65,3.65,3.65,3.65,3.65,3.65,3.65,3.65,3.65,3.65,3.65,3.65,3.65,3.65,3.65,3.65,3.65,3.65,3.65,3.65,3.65,3.65,3.65,3.65,3.65,3.65,3.65,3.65,3.65,3.65,3.65,3.65,3.65,3.65,3.65,3.65,3.65,3.65,3.65,3.65,3.65,3.65,3.65,3.65,3.65,3.65,3.65,3.65,3.65,3.65,3.65,3.65,3.65,3.65,3.65,3.65,3.65,3.65,3.65,3.65,3.65,3.65,3.65,3.65,3.65,3.65,3.65,3.65,3.65,3.65,3.65,3.65,3.65,3.65,3.65,3.65,3.65,3.65,3.65,3.65,3.65,3.65,3.65,3.65,3.65,3.65,3.65,3.65
6,1948-07-01,UNRATE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.7749999999999995,3.7749999999999995,3.7749999999999995,3.7749999999999995,3.775,3.775,3.775,3.775,3.775,3.775,3.775,3.775,3.775,3.775,3.775,3.775,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.7749999999999995,3.7749999999999995,3.7749999999999995,3.7749999999999995,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75
7,1948-10-01,UNRATE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.975,3.975,3.975,3.975,3.875,3.875,3.875,3.875,3.8500000000000005,3.8500000000000005,3.8500000000000005,3.8500000000000005,3.8500000000000005,3.8500000000000005,3.8500000000000005,3.8500000000000005,3.95,3.95,3.95,3.95,3.95,3.95,3.95,3.95,3.95,3.95,3.95,3.95,3.95,3.95,3.95,3.95,3.95,3.95,3.95,3.95,3.95,3.95,3.95,3.95,3.95,3.95,3.95,3.95,3.95,3.95,3.95,3.95,3.95,3.95,3.95,3.95,3.95,3.95,3.95,3.95,3.95,3.95,3.95,3.95,3.95,3.95,3.95,3.95,3.95,3.95,3.95,3.95,3.95,3.95,3.95,3.95,3.95,3.95,3.95,3.95,3.95,3.95,3.95,3.95,3.95,3.95,3.95,3.95,3.95,3.95,3.95,3.95,3.95,3.95,3.95,3.95,3.95,3.95,3.95,3.95,3.95,3.95,3.95,3.95,3.95,3.95,3.95,3.95,3.95,3.95,3.95,3.95,3.95,3.95,3.95,3.95,3.95,3.95,3.95,3.95,3.95,3.95,3.95,3.95,3.95,3.95,3.95,3.95,3.95,3.95,3.95,3.95,3.95,3.95,3.95,3.95,3.95,3.95,3.95,3.95,3.95,3.95,3.95,3.95,3.95,3.95,3.95,3.95,3.95,3.95,3.95,3.95,3.95,3.95,3.95,3.95,3.95,3.95,3.95,3.95,3.95,3.95,3.95,3.95,3.95,3.95,3.95,3.95,3.95,3.95,3.95,3.95,3.95,3.95,3.95,3.95,3.95,3.95,3.95,3.95,3.95,3.95,3.95,3.95,3.95,3.95,3.95,3.95,3.95,3.95,3.95,3.95,3.95,3.95,3.95,3.95,3.95,3.95,3.95,3.95,3.95,3.95,3.95,3.95,3.95,3.95,3.95,3.95,3.95,3.95,3.95,3.95,3.95,3.95,3.95,3.95,3.95,3.95,3.95,3.95,3.95,3.95,3.95,3.95,3.95,3.95,3.95,3.95,3.95,3.95,3.95,3.95,3.95,3.95,3.95,3.95,3.95,3.95,3.95,3.95,3.95
8,1949-01-01,UNRATE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.875,4.875,4.875,4.875,4.85,4.85,4.85,4.85,4.85,4.85,4.85,4.85,4.875,4.875,4.875,4.875,4.825,4.825,4.825,4.825,4.825,4.825,4.825,4.825,4.825,4.825,4.825,4.825,4.825,4.825,4.825,4.825,4.825,4.825,4.825,4.825,4.825,4.825,4.825,4.825,4.825,4.825,4.825,4.825,4.825,4.825,4.825,4.825,4.825,4.825,4.825,4.825,4.825,4.825,4.825,4.825,4.825,4.825,4.825,4.825,4.825,4.825,4.825,4.825,4.825,4.825,4.825,4.825,4.825,4.825,4.825,4.825,4.825,4.825,4.825,4.825,4.825,4.825,4.825,4.825,4.825,4.825,4.825,4.825,4.825,4.825,4.825,4.825,4.825,4.825,4.825,4.825,4.825,4.825,4.825,4.825,4.825,4.825,4.825,4.825,4.825,4.825,4.825,4.825,4.825,4.825,4.825,4.825,4.825,4.825,4.825,4.825,4.825,4.825,4.825,4.825,4.825,4.825,4.825,4.825,4.825,4.825,4.825,4.825,4.825,4.825,4.825,4.825,4.825,4.825,4.825,4.825,4.825,4.825,4.825,4.825,4.825,4.825,4.825,4.825,4.825,4.825,4.825,4.825,4.825,4.825,4.825,4.825,4.825,4.825,4.825,4.825,4.825,4.825,4.825,4.825,4.825,4.825,4.825,4.825,4.825,4.825,4.825,4.825,4.825,4.825,4.825,4.825,4.825,4.825,4.825,4.825,4.825,4.825,4.825,4.825,4.825,4.825,4.825,4.825,4.825,4.825,4.825,4.825,4.825,4.825,4.825,4.825,4.825,4.825,4.825,4.825,4.825,4.825,4.825,4.825,4.825,4.825,4.825,4.825,4.825,4.825,4.825,4.825,4.825,4.825,4.825,4.825,4.825,4.825,4.825,4.825,4.825,4.825,4.825,4.825,4.825,4.825,4.825,4.825,4.825,4.825,4.825,4.825,4.825,4.825,4.825,4.825,4.825,4.825,4.825,4.825,4.825,4.825,4.825,4.825,4.825
9,1949-04-01,UNRATE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.025,6.025,6.025,6.025,6.075,6.075,6.075,6.075,6.1000000000000005,6.1000000000000005,6.1000000000000005,6.1000000000000005,6.125,6.125,6.125,6.125,6.074999999999999,6.074999999999999,6.074999999999999,6.074999999999999,6.074999999999999,6.074999999999999,6.074999999999999,6.074999999999999,6.05,6.05,6.05,6.05,6.074999999999999,6.074999999999999,6.074999999999999,6.074999999999999,6.074999999999999,6.074999999999999,6.074999999999999,6.074999999999999,6.074999999999999,6.074999999999999,6.074999999999999,6.074999999999999,6.074999999999999,6.074999999999999,6.074999999999999,6.074999999999999,6.074999999999999,6.074999999999999,6.074999999999999,6.074999999999999,6.074999999999999,6.074999999999999,6.074999999999999,6.074999999999999,6.074999999999999,6.074999999999999,6.074999999999999,6.074999999999999,6.074999999999999,6.074999999999999,6.074999999999999,6.074999999999999,6.074999999999999,6.074999999999999,6.074999999999999,6.074999999999999,6.074999999999999,6.074999999999999,6.074999999999999,6.074999999999999,6.074999999999999,6.074999999999999,6.074999999999999,6.074999999999999,6.074999999999999,6.074999999999999,6.074999999999999,6.074999999999999,6.074999999999999,6.074999999999999,6.074999999999999,6.074999999999999,6.074999999999999,6.074999999999999,6.074999999999999,6.074999999999999,6.074999999999999,6.074999999999999,6.074999999999999,6.074999999999999,6.074999999999999,6.074999999999999,6.074999999999999,6.074999999999999,6.074999999999999,6.074999999999999,6.074999999999999,6.074999999999999,6.074999999999999,6.074999999999999,6.074999999999999,6.074999999999999,6.074999999999999,6.074999999999999,6.074999999999999,6.074999999999999,6.074999999999999,6.074999999999999,6.074999999999999,6.074999999999999,6.074999999999999,6.074999999999999,6.074999999999999,6.074999999999999,6.074999999999999,6.074999999999999,6.074999999999999,6.074999999999999,6.074999999999999,6.074999999999999,6.074999999999999,6.074999999999999,6.074999999999999,6.074999999999999,6.074999999999999,6.074999999999999,6.074999999999999,6.074999999999999,6.074999999999999,6.074999999999999,6.074999999999999,6.074999999999999,6.074999999999999,6.074999999999999,6.074999999999999,6.074999999999999,6.074999999999999,6.074999999999999,6.074999999999999,6.074999999999999,6.074999999999999,6.074999999999999,6.074999999999999,6.074999999999999,6.074999999999999,6.074999999999999,6.074999999999999,6.074999999999999,6.074999999999999,6.074999999999999,6.074999999999999,6.074999999999999,6.074999999999999,6.074999999999999,6.074999999999999,6.074999999999999,6.074999999999999,6.074999999999999,6.074999999999999,6.074999999999999,6.074999999999999,6.074999999999999,6.074999999999999,6.074999999999999,6.074999999999999,6.074999999999999,6.074999999999999,6.074999999999999,6.074999999999999,6.074999999999999,6.074999999999999,6.074999999999999,6.074999999999999,6.074999999999999,6.074999999999999,6.074999999999999,6.074999999999999,6.074999999999999,6.074999999999999,6.074999999999999,6.074999999999999,6.074999999999999,6.074999999999999,6.074999999999999,6.074999999999999,6.074999999999999,6.074999999999999,6.074999999999999,6.074999999999999,6.074999999999999,6.074999999999999,6.074999999999999,6.074999999999999,6.074999999999999,6.074999999999999,6.074999999999999,6.074999999999999,6.074999999999999,6.074999999999999,6.074999999999999,6.074999999999999,6.074999999999999,6.074999999999999,6.074999999999999,6.074999999999999,6.074999999999999,6.074999999999999,6.074999999999999,6.074999999999999,6.074999999999999,6.074999999999999,6.074999999999999,6.074999999999999,6.074999999999999,6.074999999999999,6.074999999999999,6.074999999999999,6.074999999999999,6.074999999999999,6.074999999999999,6.074999999999999,6.074999999999999,6.074999999999999,6.074999999999999,6.074999999999999,6.074999999999999,6.074999999999999,6.074999999999999,6.074999999999999,6.074999999999999,6.074999999999999,6.074999999999999,6.074999999999999,6.074999999999999,6.074999999999999,6.074999999999999,6.074999999999999,6.074999999999999,6.074999999999999
