,date,RGDP1,RGDP2,PGDP1,PGDP2,RNRESIN1,RNRESIN2,RRESINV1,RRESINV2
0,1968:Q4,713.8752,717.4881,122.0,123.3253,,,,
1,1969:Q1,718.6735,722.0681,123.541,124.7213,,,,
2,1969:Q2,722.414,728.0635,125.0,125.9298,,,,
3,1969:Q3,728.2922,730.6541,127.0,128.4828,,,,
4,1969:Q4,730.8004,731.0989,129.0175,130.5263,,,,
5,1970:Q1,729.1781,728.3647,130.6897,132.0517,,,,
6,1970:Q2,726.8186,726.4831,132.0833,133.6667,,,,
7,1970:Q3,723.9499,728.3355,134.0,135.0909,,,,
8,1970:Q4,727.3785,725.5136,135.53,136.8557,,,,
9,1971:Q1,721.4528,732.7757,137.3566,138.7132,,,,
10,1971:Q2,731.4381,739.8105,139.1804,140.5054,,,,
11,1971:Q3,742.1729,752.7285,142.5887,143.5408,,,,
12,1971:Q4,745.5591,753.9364,142.2776,143.3526,,,,
13,1972:Q1,751.9594,762.832,142.7182,144.0818,,,,
14,1972:Q2,760.8972,773.815,144.9603,146.2397,,,,
15,1972:Q3,781.7896,793.4191,145.5258,146.8,,,,
16,1972:Q4,796.1218,809.1724,146.2129,147.3129,,,,
17,1973:Q1,812.4975,823.1199,147.2067,148.845,,,,
18,1973:Q2,827.2159,837.6758,149.3919,151.2079,,,,
19,1973:Q3,841.0744,846.0432,154.3905,156.4548,,,,
20,1973:Q4,840.9054,844.3383,155.1268,157.4768,,,,
21,1974:Q1,844.3923,839.5708,157.9951,160.9098,,,,
22,1974:Q2,831.9594,831.0899,162.5106,165.7851,,,,
23,1974:Q3,828.1922,828.0655,167.0685,170.5815,,,,
24,1974:Q4,822.4622,813.652,172.0481,176.3288,,,,
25,1975:Q1,803.6305,791.0917,177.6911,181.7,,,,
26,1975:Q2,782.206,779.8006,181.4128,184.1681,,,,
27,1975:Q3,779.2973,789.2603,183.9231,186.7487,,,,
28,1975:Q4,804.6851,815.0088,186.1636,189.3023,,,,
29,1976:Q1,1217.3522,1233.6598,129.2234,130.983,,,,
30,1976:Q2,1237.9408,1253.1401,130.5396,132.4,,,,
31,1976:Q3,1259.9695,1275.5945,132.7833,134.55,,,,
32,1976:Q4,1272.9623,1289.3127,134.3583,136.2056,,,,
33,1977:Q1,1282.931,1293.0731,136.3132,138.2237,,,,
34,1977:Q2,1298.0703,1315.9301,138.075,140.4825,,,,
35,1977:Q3,1331.3573,1346.1826,140.3811,142.5892,,,,
36,1977:Q4,1342.9223,1357.9691,142.2953,144.4279,,,,
37,1978:Q1,1362.0509,1375.6009,144.2962,146.5885,,,,
38,1978:Q2,1358.6177,1380.788,146.7444,149.1222,,,,
39,1978:Q3,1378.5208,1388.8128,150.6741,153.6593,,,,
40,1978:Q4,1393.2515,1403.9626,153.6767,156.61,,,,
41,1979:Q1,1413.158,1419.8665,156.4515,159.6697,,,,
42,1979:Q2,1417.2322,1422.7275,159.8781,163.25,,,,
43,1979:Q3,1418.8124,1412.1808,163.9556,167.7189,,,,
44,1979:Q4,1429.9738,1423.3416,167.1,171.1129,,,,
45,1980:Q1,1437.0865,1435.0387,170.9148,174.7926,,,,
46,1980:Q2,1441.4526,1427.5201,174.4793,178.5621,,,,
47,1980:Q3,1410.6094,1397.7345,178.8458,182.575,,,,
48,1980:Q4,1411.9621,1417.6069,183.0267,187.2567,,,,
49,1981:Q1,1486.4589,1490.6355,183.9515,188.2588,,,,
50,1981:Q2,1512.9515,1515.4441,187.75,191.7605,,,,
51,1981:Q3,1507.4643,1507.1935,191.0968,194.44,160.8857,160.3042,49.019,46.65
52,1981:Q4,1510.025,1495.561,195.2907,199.1341,160.7355,159.6,43.5937,41.1656
53,1982:Q1,1496.4063,1483.6563,199.7618,202.7588,160.1231,157.4231,40.1808,39.15
54,1982:Q2,1483.025,1482.15,201.8357,204.0024,162.2818,157.9667,38.6727,39.1
55,1982:Q3,1476.1622,1481.1842,206.2525,209.3634,167.7742,163.3129,40.2867,41.6167
56,1982:Q4,1479.8235,1484.1429,208.7054,211.1,161.3214,157.9034,40.7571,42.4828
