"period","conso_d","conso_nd","conso_s","defgdp","definves","gdp","hours","houseprice","inves","loans_hh","loans_nfc","longrate","networth","pop","riskrate","shortrate","wage"
1945-01-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.42,NA,NA
1945-04-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.32,NA,NA
1945-07-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.25,NA,NA
1945-10-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.15,NA,NA
1946-01-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.97,NA,NA
1946-04-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA
1946-07-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.05,NA,NA
1946-10-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.16,NA,NA
1947-01-01,NA,NA,NA,11.96,16.44,2033061,46.25,NA,218091,NA,NA,NA,NA,NA,3.13,NA,3.716
1947-04-01,45557.7807547235,524213.414000034,781343.164899937,12.131,17.134,2027639,46.254,NA,201386,NA,NA,NA,NA,NA,3.18,NA,3.801
1947-07-01,46182.6170670117,526685.880469612,779775.768512486,12.335,17.861,2023452,46.379,NA,195461,NA,NA,NA,NA,NA,3.19,NA,3.914
1947-10-01,49180.0291633275,519838.246363234,775649.306154334,12.639,18.54,2055103,46.831,NA,233284,NA,NA,NA,NA,NA,3.44,NA,4.006
1948-01-01,48932.2629497967,521519.546381623,783856.358198085,12.739,18.351,2086017,47.13,NA,257220,NA,NA,NA,NA,NA,3.53,NA,4.101
1948-04-01,49259.2632234101,526658.290495354,796107.824599215,12.854,18.429,2120450,47.105,NA,273138,NA,NA,NA,NA,NA,3.4,NA,4.156
1948-07-01,50099.5535966774,523469.496360949,800450.75092752,13.092,19.032,2132598,47.44,NA,275936,NA,NA,NA,NA,NA,3.42,NA,4.241
1948-10-01,49396.0029972253,530271.727335269,808532.159573109,13.132,19.538,2134981,47,NA,262741,NA,NA,NA,NA,NA,3.52,NA,4.283
1949-01-01,48494.8630040242,532380.205212915,813538.789867385,13.062,19.301,2105562,46.209,NA,223507,NA,NA,NA,NA,NA,3.46,NA,4.309
1949-04-01,52694.0319274253,533838.250050092,817576.327213643,12.931,18.701,2098380,45.436,NA,193795,NA,NA,NA,NA,NA,3.46,NA,4.319
1949-07-01,55208.7853058699,529104.574738571,815936.246082449,12.872,18.845,2120044,44.959,NA,209862,NA,NA,NA,NA,NA,3.41,NA,4.328
1949-10-01,57394.3183979746,537752.72697444,818373.116156896,12.873,18.777,2102251,44.779,NA,199540,NA,NA,NA,NA,NA,3.34,NA,4.315
1950-01-01,59589.595126731,544611.184868058,828613.554480263,12.853,18.934,2184872,45.126,NA,246911,NA,NA,NA,NA,NA,3.24,NA,4.426
1950-04-01,60104.2970366637,550900.576401168,849749.298956307,12.897,19.131,2251507,46.24,NA,273335,NA,NA,NA,NA,NA,3.25,NA,4.521
1950-07-01,74345.703535826,560428.992579761,862827.803229661,13.177,19.756,2338514,47.698,NA,296831,NA,NA,NA,NA,NA,3.25,NA,4.61
1950-10-01,65158.17000529,547970.455269343,868382.317036734,13.425,20.458,2383291,48.138,NA,334548,NA,NA,NA,NA,NA,3.21,NA,4.725
1951-01-01,67209.4722469373,558097.672389117,892138.474033426,13.909,21.501,2415660,48.947,NA,300363,NA,NA,NA,NA,NA,3.19,NA,4.839
1951-04-01,57560.6983179594,549968.903809665,898318.921992646,14.002,21.926,2457517,49.34,NA,307326,NA,NA,NA,NA,NA,3.41,NA,4.946
1951-07-01,56525.8095892657,561559.16610159,909559.735423295,14.01,21.771,2508166,48.853,NA,284697,NA,NA,NA,NA,NA,3.5,NA,5.002
1951-10-01,56341.1982745203,568179.867433846,911825.157041453,14.17,21.787,2513690,48.876,NA,262013,NA,NA,NA,NA,NA,3.56,NA,5.098
1952-01-01,56662.4028990183,563433.233289848,923234.976227873,14.163,21.623,2540550,49.191,NA,268850,84.061,105.232,NA,NA,NA,3.54,NA,5.151
1952-04-01,57776.5241879598,576494.406910539,937444.499668183,14.18,21.323,2546022,48.987,NA,248580,88.204,107.373,NA,NA,NA,3.5,NA,5.189
1952-07-01,54349.0368146812,586602.344631863,949626.134045503,14.339,21.848,2564401,49.339,NA,261906,91.189,109.691,NA,NA,NA,3.51,NA,5.254
1952-10-01,63716.1962587488,595210.057199165,963105.97010049,14.378,21.632,2648621,50.66,NA,280772,95.595,112.537,NA,NA,NA,3.53,NA,5.385
1953-01-01,65852.3461567712,598895.744488839,972595.844773629,14.381,21.499,2697855,51.185,NA,286813,97.869,114.106,NA,NA,NA,3.54,NA,5.447
1953-04-01,65470.384779528,601572.772558821,984062.609086181,14.409,21.534,2718709,51.275,NA,288445,102.319,115.808,NA,NA,NA,3.76,NA,5.511
1953-07-01,65057.301795436,596083.952556072,989914.577252779,14.47,21.754,2703411,50.763,NA,282411,104.806,117.326,NA,NA,NA,3.86,NA,5.57
1953-10-01,63242.4828992295,596976.073713893,982405.201368402,14.497,21.544,2662482,49.964,NA,262005,108.158,117.609,NA,NA,NA,3.77,NA,5.625
1954-01-01,61288.0859346215,602713.351519051,991607.930805159,14.543,21.419,2649755,49.293,NA,260127,107.988,118.969,NA,NA,NA,3.61,NA,5.673
1954-04-01,64252.908564432,601049.008567317,1008758.8532319,14.556,21.367,2652643,48.921,NA,259513,111.763,120.059,NA,NA,NA,3.48,NA,5.68
1954-07-01,64524.2596378126,608714.742482704,1026206.4192523,14.575,21.678,2682601,48.73,NA,272037,115.171,122.051,NA,NA,NA,3.49,1.02666666666667,5.726
1954-10-01,68483.8922982507,618953.818227372,1038552.84322306,14.615,21.883,2735091,49.34,NA,283968,120.453,123.758,NA,NA,NA,3.45,0.986666666666667,5.781
1955-01-01,74639.7522228003,625352.91143327,1050797.23100588,14.683,21.996,2813212,50.136,NA,312337,123.626,125.322,NA,NA,NA,3.47,1.34333333333333,5.821
1955-04-01,78684.090357127,636910.258457489,1058334.03631314,14.744,21.938,2858988,50.789,NA,331333,130.685,128.692,2.7633333333,NA,NA,3.5,1.5,5.869
1955-07-01,81232.8164907399,641166.54697201,1069275.68969971,14.847,22.218,2897598,51.316,NA,336418,135.989,131.367,2.9466666667,NA,NA,3.56,1.94,5.974
1955-10-01,79099.0803568565,654226.565960461,1090552.32583194,14.995,22.916,2914993,51.939,NA,344218,141.563,136.054,2.91,NA,NA,3.6,2.35666666666667,6.027
1956-01-01,75476.2069919515,661623.765295449,1101033.15065869,15.144,23.417,2903671,52.253,NA,334390,143.247,139.057,2.9,NA,NA,3.59,2.48333333333333,6.121
